Energy Density (J/mmł),Regime,Gravity,Mean (K/s),Std Dev (K/s),Min (K/s),Max (K/s)
57.7,Conduction,Earth,383088.0288,77281.67984,290253.4665,786929.9
57.7,Conduction,Mars,306177.9991,60747.69764,232355.4457,571440.9
57.7,Conduction,Moon,274029.2795,48372.12532,215794.5553,537011.8
57.7,Conduction,ISS,260972.3503,46855.8269,204841.5073,522357.3
106.8,Transition,Earth,183102.2708,65984.88588,122773.8197,657331.8
106.8,Transition,Mars,199511.536,58973.91349,137665.7025,540716.7
106.8,Transition,Moon,198255.2915,60749.57673,136165.2131,574860.2
106.8,Transition,ISS,201376.0557,69218.41713,136057.7579,660552.3
166.8,Keyhole,Earth,152521.9741,66326.60406,84068.05123,779134
166.8,Keyhole,Mars,135437.4063,66326.60406,81932.95903,779134
166.8,Keyhole,Moon,136222.5645,52777.63336,84621.30639,635874.3
166.8,Keyhole,ISS,140786.5042,59789.29136,83512.41288,764390.1
